-1 [119,130,140,146,161,164,169,173,178,179]	-1 -1 -1 -1 -2
-1 -1 -1 -1 -2	-1 -1 -1
-1 -1 -1	-1 [119,130,140,146,161,164,169,173,178,179]
-1 [119,130,140,146,161,164,169,173,178,179]	-1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 [119,130,140,146,161,164,169,173,178,179]
-1 [119,130,140,146,161,164,169,173,178,179]	-1 -1 -1 -1 -2
-1 -1 -1 -1 -2	-1 -1 -1
-1 -1 -1	-1 [119,130,140,146,161,164,169,173,178,179]
-1 [119,130,140,146,161,164,169,173,178,179]	-1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 [119,130,140,146,161,164,169,173,178,179]
-1 [119,130,140,146,161,164,169,173,178,179]	-1
-1 -1 -1	-1 [119,130,140,146,161,164,169,173,178,179]
-1 [119,130,140,146,161,164,169,173,178,179]	-1 -1 -1 -1 -2
-1 -1 -1 -1 -2	-1 -1 -1
-1 -1 -1	-1 [119,130,140,146,161,164,169,173,178,179]
-1 [119,130,140,146,161,164,169,173,178,179]	-1
-1 [119,130,140,146,161,164,169,173,178,179]	-1 -1 -1 -1 -2
-1 -1 -1 -1 -2	-1 -1 -1
-1 -1 -1	-1 [119,130,140,146,161,164,169,173,178,179]
-1 [119,130,140,146,161,164,169,173,178,179]	-1
-1 -1 -1 -1 -2	-1 -1 -1
-1 -1 -1	-1 [119,130,140,146,161,164,169,173,178,179]
-1 [119,130,140,146,161,164,169,173,178,179]	-1 -1
-1 -1 -1	-1 [119,130,140,146,161,164,169,173,178,179]
-1 [119,130,140,146,161,164,169,173,178,179]	-1
-1 [119,130,140,146,161,164,169,173,178,179]	-1
-1	-1 -1 -1 -2 -1
-1 -1 -1 -2 -1	-1 [191]
-1 [191]	-1 -1
-1 -1	-1 -1 -1 -2 -1
-1 -1 -1 -2 -1	-1 -1 -1
-1 -1 -1	-1 [186,187,198,199,205,206,211,212,216,217,220,221,224,228,229,235,236]
-1 [186,187,198,199,205,206,211,212,216,217,220,221,224,228,229,235,236]	-1 [95]
-1 [95]	-1 -1 -1 -2 -1
-1 -1 -1 -2 -1	-1 -1
-1 -1	-1
-1 -1 -1 -2 -1	-1 [191]
-1 [191]	-1
-1 [191]	-1 -1
-1 -1	-1 -1 -1 -2 -1
-1 -1 -1 -2 -1	-1 -1 -1
-1 -1 -1	-1 [186,187,198,199,205,206,211,212,216,217,220,221,224,228,229,235,236]
-1 [186,187,198,199,205,206,211,212,216,217,220,221,224,228,229,235,236]	-1 -1 -1 -1 -2
-1 -1 -1 -1 -2	-1 -2
-1 -2	-1 [95]
-1 [95]	-1 -1 -1 -2 -1
-1 -1 -1 -2 -1	-1 -1
-1 -1	-1
-1 -1	-1 -1 -1 -2 -1
-1 -1 -1 -2 -1	-1 -1 -1
-1 -1 -1	-1 [186,187,198,199,205,206,211,212,216,217,220,221,224,228,229,235,236]
-1 [186,187,198,199,205,206,211,212,216,217,220,221,224,228,229,235,236]	-1 [95]
-1 [95]	-1 -1 -1 -2 -1
-1 -1 -1 -2 -1	-1 -1
-1 -1	-1
-1 -1 -1 -2 -1	-1 -1 -1
-1 -1 -1	-1 [186,187,198,199,205,206,211,212,216,217,220,221,224,228,229,235,236]
-1 [186,187,198,199,205,206,211,212,216,217,220,221,224,228,229,235,236]	-1 [95]
-1 [95]	-1 -1 -1 -2 -1
-1 -1 -1 -2 -1	-1 -1
-1 -1	-1
-1 -1 -1	-1 [186,187,198,199,205,206,211,212,216,217,220,221,224,228,229,235,236]
-1 [186,187,198,199,205,206,211,212,216,217,220,221,224,228,229,235,236]	-1 [95]
-1 [95]	-1 -1 -1 -2 -1
-1 -1 -1 -2 -1	-1 -1
-1 -1	-1
-1 [186,187,198,199,205,206,211,212,216,217,220,221,224,228,229,235,236]	-1 [95]
-1 [95]	-1 -1 -1 -2 -1
-1 -1 -1 -2 -1	-1 -1
-1 -1	-1
-1 [95]	-1 -1 -1 -2 -1
-1 -1 -1 -2 -1	-1 -1
-1 -1	-1
-1 -1 -1 -1 -2	-1 -2
-1 -2	-1 [95]
-1 [95]	-1 -1 -1 -2 -1
-1 -1 -1 -2 -1	-1 -1
-1 -1	-1
-1 -1 -1 -2 -1	-1 -1
-1 -1	-1
-1 -1	-1
-1 -2	-1 [95]
-1 [95]	-1 -1 -1 -2 -1
-1 -1 -1 -2 -1	-1 -1
-1 -1	-1
-1	-1 -1
-1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1 -2
-1 -1 -1 -2	-1 -1 -1
-1 -1 -1	-1 -2
-1 -2	-1 -1 -1
-1 -1 -1	-1 -1
-1 -1	-1
-1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1 -2
-1 -1 -1 -2	-1 -1 -1
-1 -1 -1	-1 -2
-1 -2	-1 -1 -1
-1 -1 -1	-1 -1
-1 -1	-1
-1 -1 -1	-1 -1 -1 -2
-1 -1 -1 -2	-1 -1 -1
-1 -1 -1	-1 -2
-1 -2	-1 -1 -1
-1 -1 -1	-1 -1
-1 -1	-1
-1 -1 -1 -2	-1 -1 -1
-1 -1 -1	-1 -2
-1 -2	-1 -1 -1
-1 -1 -1	-1 -1
-1 -1	-1
-1 -1 -1	-1 -2
-1 -2	-1 -1 -1
-1 -1 -1	-1 -1
-1 -1	-1
-1 -2	-1 -1 -1
-1 -1 -1	-1 -1
-1 -1	-1
-1 -1 -1	-1 -1
-1 -1	-1
-1 -1	-1
-1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1
-1 -1 -1	-1
