endbr64(0x401000:0.000:0.000:0.000)	sub(0x401004:0.013:0.143:0.250) rsp 0x8
pop(0x401069:0.250:0.273:0.273) rsi	mov(0x40106a:0.263:0.364:0.364) rdx rsp
mov(0x40106a:0.263:0.364:0.364) rdx rsp	and(0x40106d:0.275:0.455:0.455) rsp 0xfffffffffffffff0
and(0x40106d:0.275:0.455:0.455) rsp 0xfffffffffffffff0	push(0x401071:0.287:0.545:0.545) rax
push(0x401071:0.287:0.545:0.545) rax	push(0x401072:0.300:0.636:0.636) rsp
push(0x401072:0.300:0.636:0.636) rsp	xor(0x401073:0.312:0.727:0.727) r8d r8d
xor(0x401073:0.312:0.727:0.727) r8d r8d	xor(0x401076:0.325:0.818:0.818) ecx ecx
xor(0x401076:0.325:0.818:0.818) ecx ecx	lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]
lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]	call(0x40107f:0.350:1.000:1.000) qword [ rel addr_data(0x403fd8:1.000:0.000:0) ]
mov(0x401066:0.237:0.182:0.182) r9 rdx	pop(0x401069:0.250:0.273:0.273) rsi
pop(0x401069:0.250:0.273:0.273) rsi	mov(0x40106a:0.263:0.364:0.364) rdx rsp
mov(0x40106a:0.263:0.364:0.364) rdx rsp	and(0x40106d:0.275:0.455:0.455) rsp 0xfffffffffffffff0
and(0x40106d:0.275:0.455:0.455) rsp 0xfffffffffffffff0	push(0x401071:0.287:0.545:0.545) rax
push(0x401071:0.287:0.545:0.545) rax	push(0x401072:0.300:0.636:0.636) rsp
push(0x401072:0.300:0.636:0.636) rsp	xor(0x401073:0.312:0.727:0.727) r8d r8d
xor(0x401073:0.312:0.727:0.727) r8d r8d	xor(0x401076:0.325:0.818:0.818) ecx ecx
xor(0x401076:0.325:0.818:0.818) ecx ecx	lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]
lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]	call(0x40107f:0.350:1.000:1.000) qword [ rel addr_data(0x403fd8:1.000:0.000:0) ]
pop(0x401069:0.250:0.273:0.273) rsi	mov(0x40106a:0.263:0.364:0.364) rdx rsp
mov(0x40106a:0.263:0.364:0.364) rdx rsp	and(0x40106d:0.275:0.455:0.455) rsp 0xfffffffffffffff0
and(0x40106d:0.275:0.455:0.455) rsp 0xfffffffffffffff0	push(0x401071:0.287:0.545:0.545) rax
push(0x401071:0.287:0.545:0.545) rax	push(0x401072:0.300:0.636:0.636) rsp
push(0x401072:0.300:0.636:0.636) rsp	xor(0x401073:0.312:0.727:0.727) r8d r8d
xor(0x401073:0.312:0.727:0.727) r8d r8d	xor(0x401076:0.325:0.818:0.818) ecx ecx
xor(0x401076:0.325:0.818:0.818) ecx ecx	lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]
lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]	call(0x40107f:0.350:1.000:1.000) qword [ rel addr_data(0x403fd8:1.000:0.000:0) ]
mov(0x40106a:0.263:0.364:0.364) rdx rsp	and(0x40106d:0.275:0.455:0.455) rsp 0xfffffffffffffff0
and(0x40106d:0.275:0.455:0.455) rsp 0xfffffffffffffff0	push(0x401071:0.287:0.545:0.545) rax
push(0x401071:0.287:0.545:0.545) rax	push(0x401072:0.300:0.636:0.636) rsp
push(0x401072:0.300:0.636:0.636) rsp	xor(0x401073:0.312:0.727:0.727) r8d r8d
xor(0x401073:0.312:0.727:0.727) r8d r8d	xor(0x401076:0.325:0.818:0.818) ecx ecx
xor(0x401076:0.325:0.818:0.818) ecx ecx	lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]
lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]	call(0x40107f:0.350:1.000:1.000) qword [ rel addr_data(0x403fd8:1.000:0.000:0) ]
and(0x40106d:0.275:0.455:0.455) rsp 0xfffffffffffffff0	push(0x401071:0.287:0.545:0.545) rax
push(0x401071:0.287:0.545:0.545) rax	push(0x401072:0.300:0.636:0.636) rsp
push(0x401072:0.300:0.636:0.636) rsp	xor(0x401073:0.312:0.727:0.727) r8d r8d
xor(0x401073:0.312:0.727:0.727) r8d r8d	xor(0x401076:0.325:0.818:0.818) ecx ecx
xor(0x401076:0.325:0.818:0.818) ecx ecx	lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]
lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]	call(0x40107f:0.350:1.000:1.000) qword [ rel addr_data(0x403fd8:1.000:0.000:0) ]
push(0x401071:0.287:0.545:0.545) rax	push(0x401072:0.300:0.636:0.636) rsp
push(0x401072:0.300:0.636:0.636) rsp	xor(0x401073:0.312:0.727:0.727) r8d r8d
xor(0x401073:0.312:0.727:0.727) r8d r8d	xor(0x401076:0.325:0.818:0.818) ecx ecx
xor(0x401076:0.325:0.818:0.818) ecx ecx	lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]
lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]	call(0x40107f:0.350:1.000:1.000) qword [ rel addr_data(0x403fd8:1.000:0.000:0) ]
push(0x401072:0.300:0.636:0.636) rsp	xor(0x401073:0.312:0.727:0.727) r8d r8d
xor(0x401073:0.312:0.727:0.727) r8d r8d	xor(0x401076:0.325:0.818:0.818) ecx ecx
xor(0x401076:0.325:0.818:0.818) ecx ecx	lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]
lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]	call(0x40107f:0.350:1.000:1.000) qword [ rel addr_data(0x403fd8:1.000:0.000:0) ]
xor(0x401073:0.312:0.727:0.727) r8d r8d	xor(0x401076:0.325:0.818:0.818) ecx ecx
xor(0x401076:0.325:0.818:0.818) ecx ecx	lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]
lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]	call(0x40107f:0.350:1.000:1.000) qword [ rel addr_data(0x403fd8:1.000:0.000:0) ]
xor(0x401076:0.325:0.818:0.818) ecx ecx	lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]
lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]	call(0x40107f:0.350:1.000:1.000) qword [ rel addr_data(0x403fd8:1.000:0.000:0) ]
lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]	call(0x40107f:0.350:1.000:1.000) qword [ rel addr_data(0x403fd8:1.000:0.000:0) ]
lea(0x401090:0.362:0.000:0.000) rdi [ rel addr_data(0x404010:1.000:0.000:0) addr_data(0x404010:1.000:0.000:0) ]	lea(0x401097:0.375:0.125:0.333) rax [ rel addr_data(0x404010:1.000:0.000:0) addr_data(0x404010:1.000:0.000:0) ]
lea(0x401097:0.375:0.125:0.333) rax [ rel addr_data(0x404010:1.000:0.000:0) addr_data(0x404010:1.000:0.000:0) ]	cmp(0x40109e:0.388:0.250:0.667) rax rdi
cmp(0x40109e:0.388:0.250:0.667) rax rdi	je(0x4010a1:0.400:0.375:1.000) addr_code(0x4010b8:0.412:0.500:0.000)
je(0x4010a1:0.400:0.375:1.000) addr_code(0x4010b8:0.412:0.500:0.000)	retn(0x4010b8:0.412:0.500:0.000)
lea(0x401097:0.375:0.125:0.333) rax [ rel addr_data(0x404010:1.000:0.000:0) addr_data(0x404010:1.000:0.000:0) ]	cmp(0x40109e:0.388:0.250:0.667) rax rdi
cmp(0x40109e:0.388:0.250:0.667) rax rdi	je(0x4010a1:0.400:0.375:1.000) addr_code(0x4010b8:0.412:0.500:0.000)
je(0x4010a1:0.400:0.375:1.000) addr_code(0x4010b8:0.412:0.500:0.000)	mov(0x4010a3:0.425:0.625:0.000) rax qword [ rel addr_data(0x403fe0:1.000:0.000:0) ]
mov(0x4010a3:0.425:0.625:0.000) rax qword [ rel addr_data(0x403fe0:1.000:0.000:0) ]	test(0x4010aa:0.438:0.750:0.500) rax rax
test(0x4010aa:0.438:0.750:0.500) rax rax	je(0x4010ad:0.450:0.875:1.000) addr_code(0x4010b8:0.412:0.500:0.000)
je(0x4010ad:0.450:0.875:1.000) addr_code(0x4010b8:0.412:0.500:0.000)	retn(0x4010b8:0.412:0.500:0.000)
cmp(0x40109e:0.388:0.250:0.667) rax rdi	je(0x4010a1:0.400:0.375:1.000) addr_code(0x4010b8:0.412:0.500:0.000)
je(0x4010a1:0.400:0.375:1.000) addr_code(0x4010b8:0.412:0.500:0.000)	retn(0x4010b8:0.412:0.500:0.000)
je(0x4010a1:0.400:0.375:1.000) addr_code(0x4010b8:0.412:0.500:0.000)	mov(0x4010a3:0.425:0.625:0.000) rax qword [ rel addr_data(0x403fe0:1.000:0.000:0) ]
mov(0x4010a3:0.425:0.625:0.000) rax qword [ rel addr_data(0x403fe0:1.000:0.000:0) ]	test(0x4010aa:0.438:0.750:0.500) rax rax
test(0x4010aa:0.438:0.750:0.500) rax rax	je(0x4010ad:0.450:0.875:1.000) addr_code(0x4010b8:0.412:0.500:0.000)
je(0x4010ad:0.450:0.875:1.000) addr_code(0x4010b8:0.412:0.500:0.000)	retn(0x4010b8:0.412:0.500:0.000)
mov(0x4010a3:0.425:0.625:0.000) rax qword [ rel addr_data(0x403fe0:1.000:0.000:0) ]	test(0x4010aa:0.438:0.750:0.500) rax rax
test(0x4010aa:0.438:0.750:0.500) rax rax	je(0x4010ad:0.450:0.875:1.000) addr_code(0x4010b8:0.412:0.500:0.000)
je(0x4010ad:0.450:0.875:1.000) addr_code(0x4010b8:0.412:0.500:0.000)	retn(0x4010b8:0.412:0.500:0.000)
test(0x4010aa:0.438:0.750:0.500) rax rax	je(0x4010ad:0.450:0.875:1.000) addr_code(0x4010b8:0.412:0.500:0.000)
je(0x4010ad:0.450:0.875:1.000) addr_code(0x4010b8:0.412:0.500:0.000)	retn(0x4010b8:0.412:0.500:0.000)
je(0x4010ad:0.450:0.875:1.000) addr_code(0x4010b8:0.412:0.500:0.000)	jmp(0x4010af:0.463:1.000:0.000) rax
lea(0x4010c0:0.475:0.000:0.000) rdi [ rel addr_data(0x404010:1.000:0.000:0) addr_data(0x404010:1.000:0.000:0) ]	lea(0x4010c7:0.487:0.077:0.125) rsi [ rel addr_data(0x404010:1.000:0.000:0) addr_data(0x404010:1.000:0.000:0) ]
lea(0x4010c7:0.487:0.077:0.125) rsi [ rel addr_data(0x404010:1.000:0.000:0) addr_data(0x404010:1.000:0.000:0) ]	sub(0x4010ce:0.500:0.154:0.250) rsi rdi
sub(0x4010ce:0.500:0.154:0.250) rsi rdi	mov(0x4010d1:0.512:0.231:0.375) rax rsi
mov(0x4010d1:0.512:0.231:0.375) rax rsi	shr(0x4010d4:0.525:0.308:0.500) rsi 0x3f
shr(0x4010d4:0.525:0.308:0.500) rsi 0x3f	sar(0x4010d8:0.537:0.385:0.625) rax 0x3
sar(0x4010d8:0.537:0.385:0.625) rax 0x3	add(0x4010dc:0.550:0.462:0.750) rsi rax
add(0x4010dc:0.550:0.462:0.750) rsi rax	sar(0x4010df:0.562:0.538:0.875) rsi 0x1
sar(0x4010df:0.562:0.538:0.875) rsi 0x1	je(0x4010e2:0.575:0.615:1.000) addr_code(0x4010f8:0.588:0.692:0.000)
je(0x4010e2:0.575:0.615:1.000) addr_code(0x4010f8:0.588:0.692:0.000)	retn(0x4010f8:0.588:0.692:0.000)
lea(0x4010c7:0.487:0.077:0.125) rsi [ rel addr_data(0x404010:1.000:0.000:0) addr_data(0x404010:1.000:0.000:0) ]	sub(0x4010ce:0.500:0.154:0.250) rsi rdi
sub(0x4010ce:0.500:0.154:0.250) rsi rdi	mov(0x4010d1:0.512:0.231:0.375) rax rsi
mov(0x4010d1:0.512:0.231:0.375) rax rsi	shr(0x4010d4:0.525:0.308:0.500) rsi 0x3f
shr(0x4010d4:0.525:0.308:0.500) rsi 0x3f	sar(0x4010d8:0.537:0.385:0.625) rax 0x3
sar(0x4010d8:0.537:0.385:0.625) rax 0x3	add(0x4010dc:0.550:0.462:0.750) rsi rax
add(0x4010dc:0.550:0.462:0.750) rsi rax	sar(0x4010df:0.562:0.538:0.875) rsi 0x1
sar(0x4010df:0.562:0.538:0.875) rsi 0x1	je(0x4010e2:0.575:0.615:1.000) addr_code(0x4010f8:0.588:0.692:0.000)
je(0x4010e2:0.575:0.615:1.000) addr_code(0x4010f8:0.588:0.692:0.000)	mov(0x4010e4:0.600:0.769:0.000) rax qword [ rel addr_data(0x403ff0:1.000:0.000:0) ]
mov(0x4010e4:0.600:0.769:0.000) rax qword [ rel addr_data(0x403ff0:1.000:0.000:0) ]	test(0x4010eb:0.613:0.846:0.500) rax rax
test(0x4010eb:0.613:0.846:0.500) rax rax	je(0x4010ee:0.625:0.923:1.000) addr_code(0x4010f8:0.588:0.692:0.000)
je(0x4010ee:0.625:0.923:1.000) addr_code(0x4010f8:0.588:0.692:0.000)	jmp(0x4010f0:0.637:1.000:0.000) rax
sub(0x4010ce:0.500:0.154:0.250) rsi rdi	mov(0x4010d1:0.512:0.231:0.375) rax rsi
mov(0x4010d1:0.512:0.231:0.375) rax rsi	shr(0x4010d4:0.525:0.308:0.500) rsi 0x3f
shr(0x4010d4:0.525:0.308:0.500) rsi 0x3f	sar(0x4010d8:0.537:0.385:0.625) rax 0x3
sar(0x4010d8:0.537:0.385:0.625) rax 0x3	add(0x4010dc:0.550:0.462:0.750) rsi rax
add(0x4010dc:0.550:0.462:0.750) rsi rax	sar(0x4010df:0.562:0.538:0.875) rsi 0x1
sar(0x4010df:0.562:0.538:0.875) rsi 0x1	je(0x4010e2:0.575:0.615:1.000) addr_code(0x4010f8:0.588:0.692:0.000)
je(0x4010e2:0.575:0.615:1.000) addr_code(0x4010f8:0.588:0.692:0.000)	mov(0x4010e4:0.600:0.769:0.000) rax qword [ rel addr_data(0x403ff0:1.000:0.000:0) ]
mov(0x4010e4:0.600:0.769:0.000) rax qword [ rel addr_data(0x403ff0:1.000:0.000:0) ]	test(0x4010eb:0.613:0.846:0.500) rax rax
test(0x4010eb:0.613:0.846:0.500) rax rax	je(0x4010ee:0.625:0.923:1.000) addr_code(0x4010f8:0.588:0.692:0.000)
je(0x4010ee:0.625:0.923:1.000) addr_code(0x4010f8:0.588:0.692:0.000)	jmp(0x4010f0:0.637:1.000:0.000) rax
mov(0x4010d1:0.512:0.231:0.375) rax rsi	shr(0x4010d4:0.525:0.308:0.500) rsi 0x3f
shr(0x4010d4:0.525:0.308:0.500) rsi 0x3f	sar(0x4010d8:0.537:0.385:0.625) rax 0x3
sar(0x4010d8:0.537:0.385:0.625) rax 0x3	add(0x4010dc:0.550:0.462:0.750) rsi rax
add(0x4010dc:0.550:0.462:0.750) rsi rax	sar(0x4010df:0.562:0.538:0.875) rsi 0x1
sar(0x4010df:0.562:0.538:0.875) rsi 0x1	je(0x4010e2:0.575:0.615:1.000) addr_code(0x4010f8:0.588:0.692:0.000)
je(0x4010e2:0.575:0.615:1.000) addr_code(0x4010f8:0.588:0.692:0.000)	mov(0x4010e4:0.600:0.769:0.000) rax qword [ rel addr_data(0x403ff0:1.000:0.000:0) ]
mov(0x4010e4:0.600:0.769:0.000) rax qword [ rel addr_data(0x403ff0:1.000:0.000:0) ]	test(0x4010eb:0.613:0.846:0.500) rax rax
test(0x4010eb:0.613:0.846:0.500) rax rax	je(0x4010ee:0.625:0.923:1.000) addr_code(0x4010f8:0.588:0.692:0.000)
je(0x4010ee:0.625:0.923:1.000) addr_code(0x4010f8:0.588:0.692:0.000)	retn(0x4010f8:0.588:0.692:0.000)
shr(0x4010d4:0.525:0.308:0.500) rsi 0x3f	sar(0x4010d8:0.537:0.385:0.625) rax 0x3
sar(0x4010d8:0.537:0.385:0.625) rax 0x3	add(0x4010dc:0.550:0.462:0.750) rsi rax
add(0x4010dc:0.550:0.462:0.750) rsi rax	sar(0x4010df:0.562:0.538:0.875) rsi 0x1
sar(0x4010df:0.562:0.538:0.875) rsi 0x1	je(0x4010e2:0.575:0.615:1.000) addr_code(0x4010f8:0.588:0.692:0.000)
je(0x4010e2:0.575:0.615:1.000) addr_code(0x4010f8:0.588:0.692:0.000)	retn(0x4010f8:0.588:0.692:0.000)
sar(0x4010d8:0.537:0.385:0.625) rax 0x3	add(0x4010dc:0.550:0.462:0.750) rsi rax
add(0x4010dc:0.550:0.462:0.750) rsi rax	sar(0x4010df:0.562:0.538:0.875) rsi 0x1
sar(0x4010df:0.562:0.538:0.875) rsi 0x1	je(0x4010e2:0.575:0.615:1.000) addr_code(0x4010f8:0.588:0.692:0.000)
je(0x4010e2:0.575:0.615:1.000) addr_code(0x4010f8:0.588:0.692:0.000)	mov(0x4010e4:0.600:0.769:0.000) rax qword [ rel addr_data(0x403ff0:1.000:0.000:0) ]
mov(0x4010e4:0.600:0.769:0.000) rax qword [ rel addr_data(0x403ff0:1.000:0.000:0) ]	test(0x4010eb:0.613:0.846:0.500) rax rax
test(0x4010eb:0.613:0.846:0.500) rax rax	je(0x4010ee:0.625:0.923:1.000) addr_code(0x4010f8:0.588:0.692:0.000)
je(0x4010ee:0.625:0.923:1.000) addr_code(0x4010f8:0.588:0.692:0.000)	retn(0x4010f8:0.588:0.692:0.000)
add(0x4010dc:0.550:0.462:0.750) rsi rax	sar(0x4010df:0.562:0.538:0.875) rsi 0x1
sar(0x4010df:0.562:0.538:0.875) rsi 0x1	je(0x4010e2:0.575:0.615:1.000) addr_code(0x4010f8:0.588:0.692:0.000)
je(0x4010e2:0.575:0.615:1.000) addr_code(0x4010f8:0.588:0.692:0.000)	mov(0x4010e4:0.600:0.769:0.000) rax qword [ rel addr_data(0x403ff0:1.000:0.000:0) ]
mov(0x4010e4:0.600:0.769:0.000) rax qword [ rel addr_data(0x403ff0:1.000:0.000:0) ]	test(0x4010eb:0.613:0.846:0.500) rax rax
test(0x4010eb:0.613:0.846:0.500) rax rax	je(0x4010ee:0.625:0.923:1.000) addr_code(0x4010f8:0.588:0.692:0.000)
je(0x4010ee:0.625:0.923:1.000) addr_code(0x4010f8:0.588:0.692:0.000)	retn(0x4010f8:0.588:0.692:0.000)
sar(0x4010df:0.562:0.538:0.875) rsi 0x1	je(0x4010e2:0.575:0.615:1.000) addr_code(0x4010f8:0.588:0.692:0.000)
je(0x4010e2:0.575:0.615:1.000) addr_code(0x4010f8:0.588:0.692:0.000)	retn(0x4010f8:0.588:0.692:0.000)
je(0x4010e2:0.575:0.615:1.000) addr_code(0x4010f8:0.588:0.692:0.000)	retn(0x4010f8:0.588:0.692:0.000)
mov(0x4010e4:0.600:0.769:0.000) rax qword [ rel addr_data(0x403ff0:1.000:0.000:0) ]	test(0x4010eb:0.613:0.846:0.500) rax rax
test(0x4010eb:0.613:0.846:0.500) rax rax	je(0x4010ee:0.625:0.923:1.000) addr_code(0x4010f8:0.588:0.692:0.000)
je(0x4010ee:0.625:0.923:1.000) addr_code(0x4010f8:0.588:0.692:0.000)	retn(0x4010f8:0.588:0.692:0.000)
test(0x4010eb:0.613:0.846:0.500) rax rax	je(0x4010ee:0.625:0.923:1.000) addr_code(0x4010f8:0.588:0.692:0.000)
je(0x4010ee:0.625:0.923:1.000) addr_code(0x4010f8:0.588:0.692:0.000)	jmp(0x4010f0:0.637:1.000:0.000) rax
je(0x4010ee:0.625:0.923:1.000) addr_code(0x4010f8:0.588:0.692:0.000)	retn(0x4010f8:0.588:0.692:0.000)
endbr64(0x401100:0.650:0.000:0.000)	cmp(0x401104:0.662:0.077:0.500) byte [ rel addr_data(0x404010:1.000:0.000:0) ] addr_data(0x404010:1.000:0.000:0)
cmp(0x401104:0.662:0.077:0.500) byte [ rel addr_data(0x404010:1.000:0.000:0) ] addr_data(0x404010:1.000:0.000:0)	jne(0x40110b:0.675:0.154:1.000) addr_code(0x401138:0.688:0.231:0.000)
jne(0x40110b:0.675:0.154:1.000) addr_code(0x401138:0.688:0.231:0.000)	push(0x40110d:0.700:0.308:0.000) rbp
push(0x40110d:0.700:0.308:0.000) rbp	cmp(0x40110e:0.713:0.385:0.333) qword [ rel addr_data(0x403ff8:1.000:0.000:0) ] addr_data(0x403ff8:1.000:0.000:0)
cmp(0x40110e:0.713:0.385:0.333) qword [ rel addr_data(0x403ff8:1.000:0.000:0) ] addr_data(0x403ff8:1.000:0.000:0)	mov(0x401116:0.725:0.462:0.667) rbp rsp
mov(0x401116:0.725:0.462:0.667) rbp rsp	je(0x401119:0.738:0.538:1.000) addr_code(0x401127:0.750:0.615:0.000)
je(0x401119:0.738:0.538:1.000) addr_code(0x401127:0.750:0.615:0.000)	call(0x401127:0.750:0.615:0.000) addr_code(0x401090:0.362:0.000:0.000)
call(0x401127:0.750:0.615:0.000) addr_code(0x401090:0.362:0.000:0.000)	mov(0x40112c:0.762:0.692:0.333) byte [ rel addr_data(0x404010:1.000:0.000:0) ] addr_data(0x404010:1.000:0.000:0)
mov(0x40112c:0.762:0.692:0.333) byte [ rel addr_data(0x404010:1.000:0.000:0) ] addr_data(0x404010:1.000:0.000:0)	pop(0x401133:0.775:0.769:0.667) rbp
pop(0x401133:0.775:0.769:0.667) rbp	retn(0x401134:0.787:0.846:1.000)
cmp(0x401104:0.662:0.077:0.500) byte [ rel addr_data(0x404010:1.000:0.000:0) ] addr_data(0x404010:1.000:0.000:0)	jne(0x40110b:0.675:0.154:1.000) addr_code(0x401138:0.688:0.231:0.000)
